config,instances,solved,veri_full_ok,veri_full_fail,veri_full_timeout,veri_smol_ok,veri_smol_fail,cake_full_ok,cake_smol_ok,cake_smol_fail,A_trimmer_bug,B_checker_disagree,C_both_fail,D_solver_bug_masked
gss,25590,0,0,0,0,0,0,0,0,0,0,0,0,0
gss-cliques,10754,8918,7354,143,602,5497,103,7162,5480,2,0,2,103,1
gss-lazy,25590,21167,20044,3,129,15490,0,19480,14742,707,0,707,0,0
gss-lazy-base,25590,21166,19847,48,105,15361,8,19386,14623,697,0,697,8,9
gss-noclique,25590,0,0,0,0,0,0,0,0,0,0,0,0,0
gss-norestarts,25590,21168,19848,48,107,15346,6,19388,14613,692,0,692,6,9
gss-nostaged,25590,21167,19045,52,117,13823,5,18646,12546,1236,0,1236,5,12
gss-nosupp,23856,19576,15412,3092,210,16033,758,14949,15992,0,0,0,758,1198
gss-proof,25343,20964,19658,12,144,14566,2,19008,14045,481,0,481,2,2
lad,873,0,0,0,0,0,0,0,0,0,0,0,0,0
lad-alldiff-pl,873,681,561,5,108,441,19,500,441,0,17,0,2,0
lad-clique,873,0,0,0,0,0,0,0,0,0,0,0,0,0
lad-fc-pl,850,660,537,2,96,406,16,482,406,0,16,0,0,0
lad-noclique,873,0,0,0,0,0,0,0,0,0,0,0,0,0
